Gene,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64,cell_65,cell_66,cell_67,cell_68,cell_69,cell_70,cell_71,cell_72,cell_73,cell_74,cell_75,cell_76,cell_77,cell_78,cell_79,cell_80,cell_81,cell_82,cell_83,cell_84,cell_85,cell_86,cell_87,cell_88,cell_89,cell_90,cell_91,cell_92,cell_93,cell_94,cell_95,cell_96
ARRB1,16,16,9,7,4,16,16,3,4,16,7,16,2,2,16,16,4,16,16,3,3,3,16,16,5,16,16,16,16,16,5,16,3,3,16,7,6,8,16,16,16,16,3,3,3,16,16,16,4,7,16,5,4,16,16,5,16,16,16,16,6,4,16,8,16,6,11,8,6,16,16,4,10,6,4,6,5,16,16,16,16,16,1,16,16,5,16,16,10,3,16,5,1,16,6,4
ARRB2,18,18,3,5,2,18,18,5,5,18,3,18,9,8,18,18,5,18,18,2,10,2,18,18,5,18,18,18,18,18,7,18,6,5,18,10,5,0,18,18,18,18,3,5,6,18,18,18,7,6,18,5,5,18,18,5,18,18,18,18,9,5,18,7,18,2,7,6,6,18,18,7,3,8,4,4,6,18,18,18,18,18,2,18,18,7,18,18,7,4,18,7,3,18,2,7
STS,20,20,5,3,2,20,20,3,8,20,2,20,7,3,20,20,3,20,20,3,7,2,20,20,6,20,20,20,20,20,3,20,7,3,20,6,7,6,20,20,20,20,5,8,6,20,20,20,8,5,20,5,4,20,20,3,20,20,20,20,3,4,20,6,20,5,6,3,7,20,20,3,5,3,6,4,3,20,20,20,20,20,5,20,20,3,20,20,4,7,20,1,6,20,6,3
ASCL2,15,15,0,9,7,15,15,5,4,15,5,15,10,3,15,15,5,15,15,6,3,5,15,15,3,15,15,15,15,15,1,15,5,4,15,4,5,7,15,15,15,15,4,7,4,15,15,15,8,3,15,8,4,15,15,11,15,15,15,15,6,5,15,5,15,2,7,3,3,15,15,5,6,3,3,4,5,15,15,15,15,15,4,15,15,4,15,15,12,6,15,6,7,15,5,4
ATM,10,10,4,11,3,10,10,8,3,10,4,10,5,9,10,10,2,10,10,5,5,7,10,10,5,10,10,10,10,10,1,10,8,3,10,6,5,2,10,10,10,10,7,5,6,10,10,10,5,4,10,7,3,10,10,6,10,10,10,10,3,5,10,5,10,2,7,6,4,10,10,2,3,2,4,4,1,10,10,10,10,10,8,10,10,6,10,10,9,3,10,6,1,10,4,13
ATP1A4,10,10,4,3,5,10,10,7,4,10,5,10,9,3,10,10,6,10,10,4,4,5,10,10,7,10,10,10,10,10,2,10,10,2,10,1,4,6,10,10,10,10,5,2,2,10,10,10,8,9,10,6,5,10,10,2,10,10,10,10,3,4,10,4,10,1,5,0,9,10,10,4,5,7,6,6,4,10,10,10,10,10,7,10,10,6,10,10,3,8,10,4,6,10,4,3
ATP2B4,13,13,6,4,6,13,13,9,8,13,3,13,6,4,13,13,0,13,13,7,9,6,13,13,4,13,13,13,13,13,5,13,6,8,13,2,7,6,13,13,13,13,2,2,7,13,13,13,6,5,13,4,5,13,13,3,13,13,13,13,3,7,13,8,13,4,10,2,3,13,13,6,7,11,5,4,7,13,13,13,13,13,4,13,13,3,13,13,9,5,13,3,3,13,5,2
ATRX,12,12,3,2,6,12,12,3,6,12,2,12,2,1,12,12,6,12,12,4,4,5,12,12,6,12,12,12,12,12,5,12,3,4,12,11,1,7,12,12,12,12,8,4,2,12,12,12,8,8,12,6,3,12,12,3,12,12,12,12,7,6,12,6,12,8,6,6,4,12,12,7,6,3,5,4,3,12,12,12,12,12,2,12,12,7,12,12,3,2,12,4,11,12,5,6
AVP,16,16,3,9,5,16,16,6,5,16,7,16,4,5,16,16,6,16,16,2,5,9,16,16,6,16,16,16,16,16,8,16,2,5,16,9,4,8,16,16,16,16,4,4,5,16,16,16,2,5,16,4,3,16,16,6,16,16,16,16,6,4,16,2,16,8,3,3,3,16,16,4,4,4,5,4,9,16,16,16,16,16,3,16,16,3,16,16,2,2,16,7,9,16,5,4
AVPR1A,17,17,6,0,7,17,17,5,1,17,7,17,8,8,17,17,6,17,17,7,1,3,17,17,5,17,17,17,17,17,4,17,7,3,17,4,2,2,17,17,17,17,10,6,4,17,17,17,7,6,17,6,2,17,17,6,17,17,17,17,11,5,17,6,17,5,5,4,9,17,17,8,5,6,4,5,5,17,17,17,17,17,4,17,17,5,17,17,8,4,17,9,4,17,2,4
AXL,17,17,6,4,8,17,17,2,2,17,5,17,4,1,17,17,4,17,17,7,3,7,17,17,4,17,17,17,17,17,5,17,5,4,17,7,4,5,17,17,17,17,5,0,8,17,17,17,7,6,17,6,8,17,17,4,17,17,17,17,3,4,17,6,17,5,4,8,2,17,17,2,5,6,5,5,5,17,17,17,17,17,6,17,17,12,17,17,5,4,17,7,3,17,2,4
BAD,10,10,5,3,1,10,10,8,5,10,3,10,5,6,10,10,3,10,10,4,5,10,10,10,8,10,10,10,10,10,2,10,6,0,10,4,2,4,10,10,10,10,5,9,6,10,10,10,1,3,10,5,6,10,10,10,10,10,10,10,6,4,10,2,10,2,5,2,12,10,10,2,6,0,8,6,5,10,10,10,10,10,2,10,10,2,10,10,6,3,10,6,3,10,4,4
BAK1,21,21,4,3,5,21,21,1,11,21,5,21,4,2,21,21,2,21,21,7,6,2,21,21,6,21,21,21,21,21,5,21,2,5,21,3,2,5,21,21,21,21,5,3,6,21,21,21,7,5,21,2,7,21,21,6,21,21,21,21,6,12,21,3,21,6,3,5,4,21,21,8,2,6,3,9,4,21,21,21,21,21,3,21,21,3,21,21,7,3,21,10,7,21,8,7
BAX,17,17,5,4,9,17,17,5,6,17,2,17,7,3,17,17,3,17,17,2,8,4,17,17,6,17,17,17,17,17,1,17,6,8,17,5,6,5,17,17,17,17,9,4,3,17,17,17,5,4,17,4,4,17,17,5,17,17,17,17,4,4,17,9,17,3,2,3,8,17,17,10,7,2,10,5,3,17,17,17,17,17,8,17,17,10,17,17,3,7,17,2,6,17,10,1
BBS2,17,17,2,3,7,17,17,5,7,17,5,17,9,6,17,17,5,17,17,3,5,4,17,17,6,17,17,17,17,17,1,17,7,5,17,6,5,9,17,17,17,17,7,4,4,17,17,17,5,4,17,2,4,17,17,7,17,17,17,17,6,2,17,3,17,7,1,6,7,17,17,0,1,4,4,4,7,17,17,17,17,17,4,17,17,3,17,17,3,4,17,6,2,17,3,9
BBS4,15,15,6,1,12,15,15,2,3,15,5,15,4,5,15,15,4,15,15,2,3,5,15,15,9,15,15,15,15,15,6,15,5,7,15,3,3,6,15,15,15,15,8,4,6,15,15,15,6,4,15,7,13,15,15,1,15,15,15,15,3,5,15,9,15,5,11,5,5,15,15,5,4,13,5,6,5,15,15,15,15,15,4,15,15,5,15,15,4,6,15,8,5,15,6,5
CCND1,16,16,13,8,6,16,16,7,4,16,6,16,3,3,16,16,2,16,16,6,2,4,16,16,4,16,16,16,16,16,4,16,3,7,16,5,3,7,16,16,16,16,1,5,9,16,16,16,4,3,16,2,7,16,16,5,16,16,16,16,4,7,16,8,16,5,8,6,2,16,16,4,5,11,2,6,5,16,16,16,16,16,3,16,16,2,16,16,4,8,16,6,5,16,3,7
BCL2,10,10,6,4,7,10,10,7,2,10,9,10,6,5,10,10,2,10,10,6,6,5,10,10,4,10,10,10,10,10,4,10,4,4,10,2,3,3,10,10,10,10,8,6,7,10,10,10,4,4,10,6,2,10,10,9,10,10,10,10,3,5,10,3,10,5,4,6,10,10,10,3,5,4,4,7,4,10,10,10,10,10,3,10,10,4,10,10,7,4,10,6,3,10,6,4
BCL2L1,13,13,3,8,6,13,13,5,3,13,4,13,5,4,13,13,6,13,13,11,2,3,13,13,9,13,13,13,13,13,4,13,6,5,13,6,2,10,13,13,13,13,5,6,6,13,13,13,8,4,13,6,5,13,13,4,13,13,13,13,3,4,13,5,13,3,4,2,4,13,13,8,5,2,6,4,5,13,13,13,13,13,7,13,13,4,13,13,9,1,13,4,7,13,3,1
BCL2L2,10,10,4,8,2,10,10,5,6,10,0,10,6,4,10,10,5,10,10,4,4,5,10,10,2,10,10,10,10,10,2,10,6,5,10,4,6,5,10,10,10,10,9,3,3,10,10,10,8,4,10,3,8,10,10,6,10,10,10,10,2,5,10,5,10,2,6,7,4,10,10,5,4,6,5,4,4,10,10,10,10,10,8,10,10,1,10,10,4,7,10,3,8,10,8,6
BCL6,15,15,6,3,6,15,15,4,7,15,1,15,2,8,15,15,11,15,15,3,3,5,15,15,4,15,15,15,15,15,5,15,7,4,15,6,4,4,15,15,15,15,7,9,4,15,15,15,3,1,15,6,7,15,15,3,15,15,15,15,6,5,15,8,15,7,5,8,8,15,15,4,7,3,5,5,3,15,15,15,15,15,6,15,15,4,15,15,4,6,15,7,7,15,1,7
BIK,13,13,3,6,4,13,13,6,6,13,4,13,10,1,13,13,7,13,13,5,7,0,13,13,2,13,13,13,13,13,6,13,5,3,13,7,5,1,13,13,13,13,5,1,5,13,13,13,5,8,13,5,5,13,13,5,13,13,13,13,6,8,13,8,13,11,7,5,6,13,13,7,2,4,7,2,4,13,13,13,13,13,4,13,13,2,13,13,5,2,13,10,6,13,7,6
PRDM1,15,15,9,6,3,15,15,4,5,15,5,15,8,5,15,15,5,15,15,9,8,7,15,15,5,15,15,15,15,15,5,15,6,4,15,6,8,5,15,15,15,15,3,6,5,15,15,15,3,4,15,6,7,15,15,2,15,15,15,15,6,6,15,3,15,4,8,8,6,15,15,4,6,2,5,5,7,15,15,15,15,15,8,15,15,5,15,15,5,6,15,4,2,15,6,3
BMP4,12,12,2,2,5,12,12,7,2,12,1,12,7,9,12,12,4,12,12,6,6,5,12,12,8,12,12,12,12,12,5,12,4,6,12,3,7,4,12,12,12,12,6,6,4,12,12,12,5,4,12,8,4,12,12,8,12,12,12,12,7,1,12,1,12,6,3,4,4,12,12,8,8,9,7,5,3,12,12,12,12,12,5,12,12,2,12,12,3,6,12,4,3,12,6,3
BMP5,12,12,3,9,3,12,12,6,5,12,5,12,6,5,12,12,6,12,12,6,6,6,12,12,4,12,12,12,12,12,6,12,5,3,12,9,7,7,12,12,12,12,5,7,3,12,12,12,8,3,12,4,2,12,12,8,12,12,12,12,4,5,12,5,12,3,1,3,10,12,12,2,2,4,7,8,5,12,12,12,12,12,5,12,12,6,12,12,4,4,12,6,6,12,7,5
BMP6,18,18,5,5,7,18,18,4,7,18,4,18,4,6,18,18,4,18,18,3,6,4,18,18,3,18,18,18,18,18,3,18,6,5,18,5,5,2,18,18,18,18,8,4,5,18,18,18,4,5,18,4,8,18,18,5,18,18,18,18,2,2,18,4,18,8,2,5,4,18,18,6,10,7,4,3,1,18,18,18,18,18,3,18,18,9,18,18,7,3,18,10,4,18,8,5
BMP7,14,14,4,7,6,14,14,3,8,14,4,14,3,7,14,14,6,14,14,4,4,9,14,14,2,14,14,14,14,14,7,14,4,6,14,7,2,6,14,14,14,14,5,5,5,14,14,14,7,3,14,5,8,14,14,2,14,14,14,14,5,5,14,7,14,7,6,0,3,14,14,4,0,11,3,1,6,14,14,14,14,14,6,14,14,4,14,14,7,9,14,2,4,14,2,8
BMPR1A,27,27,4,7,11,27,27,4,6,27,9,27,6,5,27,27,8,27,27,3,6,2,27,27,6,27,27,27,27,27,7,27,6,6,27,1,4,3,27,27,27,27,6,7,5,27,27,27,3,3,27,1,9,27,27,8,27,27,27,27,6,5,27,5,27,6,2,6,6,27,27,5,3,3,7,3,8,27,27,27,27,27,4,27,27,7,27,27,2,5,27,6,4,27,8,7
BMPR1B,20,20,5,8,5,20,20,6,7,20,4,20,7,8,20,20,4,20,20,6,5,4,20,20,6,20,20,20,20,20,4,20,2,5,20,7,6,3,20,20,20,20,4,3,2,20,20,20,5,3,20,5,2,20,20,5,20,20,20,20,4,6,20,4,20,9,7,10,5,20,20,5,8,3,1,2,7,20,20,20,20,20,5,20,20,5,20,20,6,2,20,9,2,20,3,2
BMPR2,22,22,12,7,2,22,22,6,1,22,7,22,4,9,22,22,5,22,22,4,7,10,22,22,3,22,22,22,22,22,5,22,3,4,22,5,2,5,22,22,22,22,6,5,7,22,22,22,3,5,22,4,5,22,22,6,22,22,22,22,1,4,22,3,22,2,2,5,5,22,22,0,2,4,7,5,4,22,22,22,22,22,5,22,22,4,22,22,5,4,22,3,3,22,2,6
BOK,28,28,1,2,6,28,28,1,2,28,9,28,5,5,28,28,4,28,28,3,10,3,28,28,5,28,28,28,28,28,7,28,1,5,28,7,2,5,28,28,28,28,2,2,4,28,28,28,3,2,28,4,1,28,28,4,28,28,28,28,5,4,28,5,28,7,8,6,4,28,28,7,9,2,2,6,3,28,28,28,28,28,4,28,28,2,28,28,9,4,28,5,5,28,4,7
FOXL2,13,13,2,7,7,13,13,6,3,13,7,13,2,3,13,13,4,13,13,5,8,11,13,13,5,13,13,13,13,13,1,13,6,4,13,5,4,6,13,13,13,13,7,4,5,13,13,13,7,5,13,12,3,13,13,4,13,13,13,13,4,9,13,9,13,8,9,4,9,13,13,4,4,7,10,8,6,13,13,13,13,13,1,13,13,2,13,13,3,4,13,5,3,13,3,8
BRCA2,10,10,4,9,4,10,10,5,9,10,4,10,5,6,10,10,2,10,10,5,4,6,10,10,1,10,10,10,10,10,6,10,4,4,10,5,4,2,10,10,10,10,6,10,5,10,10,10,5,4,10,4,5,10,10,7,10,10,10,10,3,4,10,7,10,3,7,4,4,10,10,7,7,3,5,3,7,10,10,10,10,10,5,10,10,4,10,10,4,7,10,5,4,10,6,4
BRDT,14,14,6,6,4,14,14,2,6,14,4,14,4,2,14,14,3,14,14,3,2,6,14,14,3,14,14,14,14,14,4,14,5,5,14,4,2,3,14,14,14,14,4,4,7,14,14,14,5,8,14,3,2,14,14,4,14,14,14,14,3,3,14,5,14,4,5,4,3,14,14,3,3,3,4,6,2,14,14,14,14,14,9,14,14,4,14,14,9,5,14,3,6,14,3,4
ZFP36L1,11,11,8,2,4,11,11,4,6,11,8,11,2,8,11,11,3,11,11,6,6,3,11,11,5,11,11,11,11,11,4,11,6,4,11,4,4,9,11,11,11,11,4,6,2,11,11,11,5,2,11,3,3,11,11,3,11,11,11,11,4,8,11,2,11,4,6,9,5,11,11,2,6,6,10,3,3,11,11,11,11,11,6,11,11,4,11,11,7,5,11,5,6,11,4,9
BSG,13,13,8,2,4,13,13,7,6,13,4,13,9,5,13,13,3,13,13,7,4,3,13,13,2,13,13,13,13,13,4,13,6,2,13,1,2,8,13,13,13,13,5,5,9,13,13,13,6,3,13,6,7,13,13,10,13,13,13,13,6,9,13,4,13,3,6,6,2,13,13,4,5,3,5,6,8,13,13,13,13,13,7,13,13,2,13,13,5,3,13,6,3,13,6,5
BTG1,12,12,2,5,5,12,12,5,12,12,6,12,4,5,12,12,6,12,12,5,6,4,12,12,9,12,12,12,12,12,10,12,7,6,12,8,3,8,12,12,12,12,5,5,5,12,12,12,7,10,12,5,8,12,12,9,12,12,12,12,3,3,12,6,12,7,4,3,6,12,12,4,6,5,11,4,4,12,12,12,12,12,5,12,12,4,12,12,9,4,12,3,8,12,4,3
BYSL,16,16,6,7,6,16,16,8,4,16,5,16,11,8,16,16,2,16,16,6,6,6,16,16,6,16,16,16,16,16,6,16,5,11,16,11,7,7,16,16,16,16,1,6,2,16,16,16,5,7,16,2,4,16,16,5,16,16,16,16,3,4,16,7,16,7,6,3,7,16,16,3,8,5,8,3,3,16,16,16,16,16,3,16,16,7,16,16,5,4,16,5,5,16,7,6
C1QBP,18,18,1,5,5,18,18,3,4,18,2,18,6,5,18,18,11,18,18,6,4,4,18,18,3,18,18,18,18,18,7,18,6,8,18,4,4,8,18,18,18,18,3,1,11,18,18,18,4,6,18,5,3,18,18,5,18,18,18,18,8,5,18,6,18,6,3,4,4,18,18,4,4,6,7,4,4,18,18,18,18,18,6,18,18,12,18,18,10,8,18,9,9,18,6,3
OSGIN2,20,20,3,1,3,20,20,5,0,20,6,20,4,5,20,20,5,20,20,2,5,5,20,20,8,20,20,20,20,20,5,20,4,5,20,7,8,5,20,20,20,20,8,8,7,20,20,20,6,3,20,5,9,20,20,6,20,20,20,20,5,5,20,9,20,6,2,8,1,20,20,6,5,4,6,3,4,20,20,20,20,20,5,20,20,9,20,20,5,4,20,4,5,20,6,8
DDR1,15,15,3,4,3,15,15,6,8,15,7,15,8,6,15,15,3,15,15,10,7,5,15,15,7,15,15,15,15,15,4,15,7,6,15,4,8,3,15,15,15,15,4,3,5,15,15,15,4,9,15,4,5,15,15,5,15,15,15,15,3,8,15,3,15,5,2,3,4,15,15,6,0,1,5,4,5,15,15,15,15,15,0,15,15,5,15,15,4,9,15,8,4,15,4,7
CAD,13,13,4,8,2,13,13,3,5,13,5,13,7,6,13,13,8,13,13,6,4,3,13,13,4,13,13,13,13,13,5,13,4,7,13,6,4,4,13,13,13,13,7,4,4,13,13,13,6,5,13,0,8,13,13,11,13,13,13,13,7,4,13,5,13,2,6,6,6,13,13,3,4,3,5,8,5,13,13,13,13,13,6,13,13,4,13,13,7,6,13,4,6,13,8,3
CALCA,18,18,9,5,2,18,18,5,7,18,3,18,6,9,18,18,6,18,18,5,9,3,18,18,4,18,18,18,18,18,5,18,1,5,18,4,5,7,18,18,18,18,4,6,5,18,18,18,4,5,18,3,1,18,18,3,18,18,18,18,6,2,18,3,18,3,5,5,1,18,18,3,6,4,6,8,7,18,18,18,18,18,2,18,18,4,18,18,5,5,18,5,2,18,2,3
CALR,10,10,4,5,6,10,10,1,3,10,1,10,1,5,10,10,4,10,10,4,3,8,10,10,7,10,10,10,10,10,6,10,6,5,10,10,5,5,10,10,10,10,3,6,7,10,10,10,3,5,10,4,7,10,10,5,10,10,10,10,5,3,10,8,10,1,3,8,4,10,10,10,4,6,2,4,4,10,10,10,10,10,3,10,10,9,10,10,2,4,10,3,4,10,6,4
CASP2,18,18,5,7,5,18,18,7,2,18,3,18,9,9,18,18,7,18,18,4,3,5,18,18,4,18,18,18,18,18,9,18,7,2,18,4,4,3,18,18,18,18,5,7,0,18,18,18,5,6,18,4,2,18,18,7,18,18,18,18,7,6,18,4,18,6,6,4,4,18,18,7,7,10,8,2,4,18,18,18,18,18,6,18,18,3,18,18,11,7,18,7,5,18,10,7
CASP5,10,10,4,2,1,10,10,5,9,10,3,10,4,7,10,10,5,10,10,3,9,3,10,10,4,10,10,10,10,10,2,10,5,4,10,1,4,4,10,10,10,10,1,6,2,10,10,10,3,4,10,9,2,10,10,7,10,10,10,10,7,6,10,6,10,3,6,7,2,10,10,11,7,4,10,2,4,10,10,10,10,10,6,10,10,3,10,10,9,5,10,3,4,10,7,9
CASP8,13,13,3,6,9,13,13,10,8,13,4,13,4,4,13,13,2,13,13,3,8,2,13,13,5,13,13,13,13,13,6,13,2,2,13,3,6,0,13,13,13,13,2,6,4,13,13,13,5,4,13,6,9,13,13,2,13,13,13,13,10,8,13,4,13,8,5,9,6,13,13,5,4,6,3,8,3,13,13,13,13,13,2,13,13,6,13,13,8,1,13,4,7,13,6,6
CCIN,12,12,3,5,3,12,12,6,8,12,9,12,4,5,12,12,4,12,12,3,3,6,12,12,4,12,12,12,12,12,2,12,8,5,12,8,6,3,12,12,12,12,7,6,5,12,12,12,4,2,12,7,6,12,12,8,12,12,12,12,6,7,12,7,12,3,5,2,9,12,12,5,6,7,10,11,2,12,12,12,12,12,4,12,12,3,12,12,4,6,12,6,1,12,6,8
CCNB1,16,16,9,4,3,16,16,2,5,16,5,16,8,2,16,16,7,16,16,5,5,3,16,16,4,16,16,16,16,16,5,16,4,5,16,5,5,4,16,16,16,16,5,7,9,16,16,16,6,9,16,4,7,16,16,8,16,16,16,16,4,4,16,8,16,8,5,4,8,16,16,4,7,4,4,7,7,16,16,16,16,16,5,16,16,3,16,16,6,9,16,3,2,16,6,4
CCNF,17,17,4,7,5,17,17,5,3,17,4,17,7,10,17,17,2,17,17,4,5,2,17,17,1,17,17,17,17,17,2,17,2,3,17,3,3,10,17,17,17,17,5,9,8,17,17,17,6,7,17,4,2,17,17,1,17,17,17,17,7,8,17,3,17,7,5,4,4,17,17,5,8,3,2,8,7,17,17,17,17,17,6,17,17,5,17,17,7,5,17,2,9,17,8,2
CD9,16,16,4,4,1,16,16,3,5,16,4,16,6,5,16,16,3,16,16,5,4,2,16,16,3,16,16,16,16,16,2,16,5,1,16,3,7,5,16,16,16,16,5,4,1,16,16,16,5,4,16,4,7,16,16,6,16,16,16,16,9,9,16,7,16,6,7,6,5,16,16,1,4,6,5,3,4,16,16,16,16,16,9,16,16,5,16,16,6,6,16,9,11,16,1,8
CD38,10,10,3,2,4,10,10,3,5,10,2,10,2,4,10,10,3,10,10,2,2,6,10,10,5,10,10,10,10,10,3,10,4,4,10,4,4,6,10,10,10,10,4,4,6,10,10,10,3,6,10,4,11,10,10,7,10,10,10,10,7,8,10,7,10,6,3,5,3,10,10,7,6,8,2,5,10,10,10,10,10,10,2,10,10,3,10,10,7,4,10,5,4,10,4,2
CDK1,21,21,5,4,3,21,21,7,7,21,7,21,3,7,21,21,5,21,21,8,6,3,21,21,5,21,21,21,21,21,3,21,3,3,21,7,6,2,21,21,21,21,2,4,4,21,21,21,6,5,21,4,9,21,21,8,21,21,21,21,7,2,21,4,21,2,5,4,6,21,21,5,5,4,1,4,5,21,21,21,21,21,2,21,21,6,21,21,3,7,21,2,6,21,6,10
CDC20,17,17,3,3,5,17,17,9,8,17,7,17,5,6,17,17,6,17,17,10,3,5,17,17,11,17,17,17,17,17,3,17,8,3,17,6,7,6,17,17,17,17,6,6,8,17,17,17,5,12,17,8,5,17,17,2,17,17,17,17,3,4,17,5,17,5,6,4,2,17,17,7,7,8,8,2,0,17,17,17,17,17,6,17,17,3,17,17,3,3,17,8,4,17,5,4
CDC25B,17,17,1,7,1,17,17,5,4,17,2,17,4,8,17,17,7,17,17,3,4,9,17,17,3,17,17,17,17,17,4,17,8,8,17,3,8,13,17,17,17,17,6,7,2,17,17,17,3,6,17,1,8,17,17,5,17,17,17,17,3,4,17,3,17,7,5,6,5,17,17,6,4,8,4,4,4,17,17,17,17,17,7,17,17,7,17,17,7,6,17,2,3,17,6,7
CDC25C,15,15,2,5,6,15,15,7,3,15,2,15,5,11,15,15,8,15,15,2,1,4,15,15,3,15,15,15,15,15,9,15,8,3,15,8,5,4,15,15,15,15,2,8,4,15,15,15,6,5,15,7,6,15,15,4,15,15,15,15,5,7,15,9,15,3,4,5,4,15,15,6,4,3,6,0,10,15,15,15,15,15,6,15,15,4,15,15,6,6,15,3,4,15,1,0
CDK2,16,16,5,6,2,16,16,4,4,16,7,16,9,2,16,16,5,16,16,4,5,3,16,16,7,16,16,16,16,16,5,16,6,4,16,4,6,2,16,16,16,16,5,7,2,16,16,16,3,7,16,1,4,16,16,8,16,16,16,16,9,9,16,6,16,3,2,6,6,16,16,3,2,7,4,3,3,16,16,16,16,16,4,16,16,7,16,16,6,4,16,5,8,16,5,6
CDKN1B,10,10,4,6,8,10,10,2,3,10,2,10,8,4,10,10,4,10,10,3,4,2,10,10,5,10,10,10,10,10,8,10,4,5,10,7,3,8,10,10,10,10,4,1,11,10,10,10,5,7,10,2,1,10,10,6,10,10,10,10,4,5,10,9,10,5,4,2,6,10,10,1,7,2,8,6,8,10,10,10,10,10,4,10,10,6,10,10,4,6,10,6,6,10,5,5
CDKN1C,11,11,2,2,6,11,11,4,5,11,2,11,3,2,11,11,4,11,11,3,7,4,11,11,8,11,11,11,11,11,5,11,7,7,11,5,6,6,11,11,11,11,3,9,3,11,11,11,7,6,11,7,6,11,11,4,11,11,11,11,4,2,11,5,11,5,3,5,2,11,11,8,5,4,4,3,2,11,11,11,11,11,11,11,11,5,11,11,7,5,11,6,5,11,3,5
CDX2,13,13,3,8,7,13,13,4,3,13,2,13,8,6,13,13,5,13,13,4,2,3,13,13,5,13,13,13,13,13,7,13,8,6,13,2,7,0,13,13,13,13,1,6,3,13,13,13,4,9,13,6,3,13,13,7,13,13,13,13,6,2,13,3,13,2,6,2,2,13,13,5,3,5,5,3,4,13,13,13,13,13,6,13,13,3,13,13,6,8,13,4,2,13,5,4
CDX4,10,10,6,5,7,10,10,6,5,10,4,10,8,6,10,10,6,10,10,1,4,4,10,10,5,10,10,10,10,10,3,10,4,3,10,5,7,9,10,10,10,10,5,6,7,10,10,10,6,4,10,4,8,10,10,8,10,10,10,10,6,1,10,4,10,5,2,4,6,10,10,4,4,4,3,4,7,10,10,10,10,10,6,10,10,3,10,10,3,7,10,5,5,10,5,7
CLGN,15,15,4,3,1,15,15,7,4,15,3,15,6,3,15,15,7,15,15,6,2,3,15,15,7,15,15,15,15,15,3,15,3,6,15,7,7,3,15,15,15,15,7,6,13,15,15,15,7,8,15,6,5,15,15,8,15,15,15,15,6,6,15,7,15,5,4,5,5,15,15,6,2,7,6,4,2,15,15,15,15,15,4,15,15,3,15,15,4,7,15,5,4,15,4,6
CEBPA,13,13,4,6,4,13,13,6,8,13,6,13,9,3,13,13,9,13,13,3,6,3,13,13,3,13,13,13,13,13,8,13,4,1,13,1,4,4,13,13,13,13,7,2,6,13,13,13,4,6,13,7,6,13,13,0,13,13,13,13,9,8,13,2,13,3,4,1,5,13,13,6,7,3,0,2,6,13,13,13,13,13,6,13,13,9,13,13,2,8,13,7,4,13,5,5
CEBPB,6,6,6,13,3,6,6,3,3,6,5,6,4,7,6,6,5,6,6,6,1,4,6,6,4,6,6,6,6,6,7,6,4,6,6,7,3,3,6,6,6,6,7,1,4,6,6,6,5,10,6,3,1,6,6,2,6,6,6,6,6,8,6,2,6,5,8,5,4,6,6,7,7,1,4,4,3,6,6,6,6,6,7,6,6,2,6,6,7,8,6,6,5,6,7,3
CETN2,12,12,0,3,4,12,12,3,3,12,6,12,7,2,12,12,6,12,12,5,5,5,12,12,4,12,12,12,12,12,6,12,3,6,12,4,8,6,12,12,12,12,3,9,7,12,12,12,8,5,12,3,3,12,12,6,12,12,12,12,7,4,12,3,12,5,8,2,9,12,12,7,6,2,2,2,4,12,12,12,12,12,5,12,12,5,12,12,2,3,12,7,3,12,7,3
CFTR,12,12,8,1,4,12,12,5,9,12,4,12,5,6,12,12,4,12,12,5,7,5,12,12,6,12,12,12,12,12,3,12,4,7,12,3,4,2,12,12,12,12,9,3,5,12,12,12,10,5,12,4,5,12,12,3,12,12,12,12,4,6,12,4,12,7,5,5,2,12,12,11,1,8,5,2,2,12,12,12,12,12,2,12,12,3,12,12,10,3,12,2,3,12,5,6
CHRNA7,19,19,2,5,2,19,19,4,5,19,4,19,4,6,19,19,4,19,19,3,4,12,19,19,0,19,19,19,19,19,6,19,5,4,19,7,7,6,19,19,19,19,10,5,4,19,19,19,7,6,19,9,5,19,19,6,19,19,19,19,3,9,19,9,19,3,4,4,6,19,19,4,3,7,5,5,5,19,19,19,19,19,5,19,19,7,19,19,2,4,19,5,5,19,1,7
CKS2,18,18,8,6,1,18,18,6,8,18,6,18,2,5,18,18,5,18,18,7,5,7,18,18,5,18,18,18,18,18,9,18,3,7,18,3,7,4,18,18,18,18,3,6,4,18,18,18,6,3,18,6,3,18,18,5,18,18,18,18,2,10,18,6,18,4,5,6,6,18,18,5,10,9,9,3,3,18,18,18,18,18,10,18,18,0,18,18,4,4,18,6,5,18,2,3
